"Concentrations moyennes de dioxyde d’azote à l’échelle nationale, Canada, 2009 à 2023",,,
,,,
Année,Concentration moyenne (parties par milliard),10e centile (parties par milliard),90e centile (parties par milliard)
2009,9.3,3.8,14.9
2010,8.5,3.7,13.7
2011,8.1,2.9,13.5
2012,7.7,2.7,13.4
2013,7.7,3.1,12.9
2014,7.6,2.9,13.2
2015,7.3,2.7,12.2
2016,6.9,2.6,11.9
2017,7,2.6,12.7
2018,7,2.6,11.6
2019,6.9,2.6,11.5
2020,6,2.4,9.9
2021,6.1,2.2,10.1
2022,6.2,2.4,10.6
2023,6.1,2.3,10.2
Norme de 2020,17,s/o,s/o
Tendance annuelle,-0.19,s/o,s/o
,,,
"Remarque : s/o= sans objet. L’indicateur national sur la concentration moyenne de NO2 est basé sur la moyenne annuelle des concentrations horaires enregistrées à 128 stations de surveillance partout au Canada. La comparaison avec la norme canadienne de qualité de l’air ambiant est fournie à titre d’exemple seulement. Une tendance statistiquement significative est signalée lorsque le test de Mann-Kendall indique la présence d'une tendance avec un niveau de confiance de 95 pourcent. Pour plus de renseignements, consultez la section sur les Méthodes (www.canada.ca/fr/environnement-changement-climatique/services/indicateurs-environnementaux/qualite-air.html#Methodes).",,,
Source : Environnement et Changement climatique Canada (2025) Réseau national de surveillance de la pollution atmosphérique (www.canada.ca/fr/environnement-changement-climatique/services/pollution-atmospherique/reseau-surveillance-donnees/programme-national-pollution-atmospherique.html).,,,
Disponible sur le site Web des Indicateurs environnementaux (www.canada.ca/indicateurs-environnementaux).,,,
