"Concentrations moyennes de composés organiques volatils à l'échelle nationale, Canada, 2009 à 2023",,,
,,,
Année,Concentration moyenne annuelle sur 1 heure (parties par milliard de carbone),10e centile (parties par milliard de carbone),90e centile (parties par milliard de carbone)
2009,104.6,28.6,310.1
2010,92.2,25.1,231
2011,91.8,31.6,201.3
2012,74.8,23.5,266.3
2013,75.7,23.7,258
2014,77,23.1,241
2015,77.2,26.3,222.7
2016,64.3,20.9,176.1
2017,73.3,25.8,249.3
2018,63.5,21.3,102.1
2019,65.5,20,231.4
2020,non-disponible,non-disponible,non-disponible
2021,81.5,40,207.8
2022,69.3,30.9,201.6
2023,62,22.3,116.4
Tendance annuelle ,-1.99,s/o,s/o
,,,
"Remarque : s/o = sans objet. L’indicateur sur les concentrations moyennes de COV à l’échelle nationale est basé sur la moyenne annuelle des concentrations quotidiennes intégrées dans le temps (24 heures pour les stations urbaines et 4 heures pour les stations rurales) relevées à 29 stations de surveillance au Canada. L’échantillonnage des COV en 2020 était limité et aucune station n’a répondu aux critères d’exhaustivité des données pour cette année. En 2011, 2021 et 2022, l'échantillonnage des COV a été interrompu dans plusieurs stations. Pour ces années, la concentration moyenne nationale est probablement biaisée à la hausse par rapport aux autres années, comme indiqué dans la section Mises en garde et limites. (www.canada.ca/fr/environnement-changement-climatique/services/indicateurs-environnementaux/qualite-air.html#DSM). Aucune comparaison avec les NCQAA n’est montrée car il n’y a pas de norme COV comparable. Une tendance statistiquement significative est signalée lorsque le test de Mann-Kendall indique la présence d'une tendance avec un niveau de confiance de 95 %. Pour plus de renseignements, consultez la section sur les Méthodes . (www.canada.ca/fr/environnement-changement-climatique/services/indicateurs-environnementaux/qualite-air.html#DSM).",,,
Source: Environnement et Changement climatique Canada (2025) Programme de surveillance nationale de la pollution atmosphérique (SNPA) – Portail du Gouvernement Ouvert. (https://ouvert.canada.ca/data/fr/dataset/1b36a356-defd-4813-acea-47bc3abd859b),,,
Disponible sur le site Web des Indicateurs environnementaux (www.canada.ca/indicateurs-environnementaux).,,,
