"Concentrations moyennes de pointe de particules fines à l’échelle régionale au Canada, de 2009 à 2023",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Canada atlantique ,Canada atlantique ,Canada atlantique ,Sud du Québec ,Sud du Québec ,Sud du Québec,Sud de l'Ontario ,Sud de l'Ontario,Sud de l'Ontario ,Prairies et nord de l'Ontario ,Prairies et nord de l'Ontario ,Prairies et nord de l'Ontario ,Colombie-Britannique ,Colombie-Britannique,Colombie-Britannique ,Territoires du Nord Ouest,Territoires du Nord Ouest,Territoires du Nord Ouest
Année,Concentration moyenne de pointe (98e centile) sur 24 heures (microgrammes par mètre cube),10e centile (microgrammes par mètre cube),90e centile (microgrammes par mètre cube),Concentration moyenne de pointe (98e centile) sur 24 heures (microgrammes par mètre cube),10e centile (microgrammes par mètre cube),90e centile (microgrammes par mètre cube),Concentration moyenne de pointe (98e centile) sur 24 heures (microgrammes par mètre cube),10e centile (microgrammes par mètre cube),90e centile (microgrammes par mètre cube),Concentration moyenne de pointe (98e centile) sur 24 heures (microgrammes par mètre cube),10e centile (microgrammes par mètre cube),90e centile (microgrammes par mètre cube),Concentration moyenne de pointe (98e centile) sur 24 heures (microgrammes par mètre cube),10e centile (microgrammes par mètre cube),90e centile (microgrammes par mètre cube),Concentration moyenne de pointe (98e centile) sur 24 heures (microgrammes par mètre cube),10e centile (microgrammes par mètre cube),90e centile (microgrammes par mètre cube)
2009,16.1,10.6,18.7,22.3,11.5,33,14.8,11.3,17.5,14.2,10.3,17.1,16.8,12,24.7,16.7,11.2,22.2
2010,16.6,11.2,22,24.8,17.6,32,20.9,13.6,25,24.7,14.6,37.5,23.4,10.9,46.8,10.9,6.3,15.4
2011,15.9,11,18.8,20.5,12.3,26.8,18,13.8,22.8,22.3,11.2,49.3,13.6,8,22.9,16.7,7.5,25.8
2012,13.5,9.5,17.9,22.1,12,29.8,17,13.3,20.6,18.7,12.1,24.8,15.7,10.2,29.4,14,8.9,17.8
2013,17.4,14.9,19.9,20.8,13.9,26.4,19.8,15,23.5,18,12.7,23.9,17.7,10.3,32.4,20.6,10.1,31.9
2014,14.4,12.2,16.8,18.2,12.5,23.6,20.8,14,25.5,24.3,15.3,33.7,20.9,13.3,31.6,70.4,9.8,130.9
2015,14.6,11.1,19.9,19.1,13,24.4,20.1,14.3,24.4,30.6,17.4,46.2,20.7,13.7,30,21.6,15,31.6
2016,11.6,9.4,14,15.6,9.9,21.2,16.1,12.3,19.3,30.8,11.4,33.1,14.6,9.6,23.5,14,6.8,19.7
2017,12.4,10.6,14.7,16.7,10.5,22.7,16.2,12.1,19.4,25.8,14.9,35,47.7,22.4,74,17.7,11.4,21.8
2018,11,8.9,13.4,18.2,12.1,23.5,18.5,14,21.2,49.1,27.7,64.2,47.9,25.1,82.3,11.4,9.4,12.8
2019,10.8,9.3,12.3,16.4,12,20.4,17.2,12.5,20.8,20.6,13.8,27.7,16.6,10,23.5,18.9,10.3,28.7
2020,11.3,9.3,14.2,18.4,11.3,23.7,15.7,12.2,18.9,15.2,10.8,19.3,31.1,17.1,48.9,14.9,10.5,22.3
2021,11.9,10,14,20.4,17.1,24.5,18.7,14.9,22.2,33,23.9,41,28.5,10.5,92.5,19.2,11.8,27.7
2022,11.2,8.7,13.9,16.1,10.1,20.2,16.4,12.6,21.1,22.4,15.2,28.5,22.7,16.4,29.5,25.2,19.4,29.7
2023,14,12.3,15.5,31.4,22.4,52.7,34,29.6,39.6,103.4,59.8,165.6,28.3,12.7,66.3,91.4,19.2,211.7
Norme de 2020,27,s/o,s/o,27,s/o,s/o,27,s/o,s/o,27,s/o,s/o,27,s/o,s/o,27,s/o,s/o
Tendance annuelle,-0.4,s/o,s/o,Aucune tendance ,s/o,s/o,Aucune tendance,s/o,s/o,Aucune tendance ,s/o,s/o,Aucune tendance ,s/o,s/o,Aucune tendance ,s/o,s/o
,,,,,,,,,,,,,,,,,,
"Remarque : s/o= sans objet. L’indicateur sur la concentration moyenne de pointe à l’échelle régionale de PM2,5 est basé sur le 98e centile annuel des concentrations moyennes quotidiennes sur 24 heures relevées à 16 stations dans la région du Canada atlantique, 35 stations dans la région du sud du Québec, 37 stations dans la région du sud de l’Ontario, 35 stations dans la région des Prairies et du nord de l’Ontario, 35 stations en Colombie-Britannique et 3 stations dans la région des territoires du Nord. La comparaison avec les normes canadiennes de qualité de l’air ambiant est fournie à titre d’exemple seulement. Une tendance est considérée statistiquement significative lorsque le test de Mann-Kendall indique la présence d'une tendance avec un niveau de confiance de 95 %. Pour plus de renseignements, consultez  la section sur les Méthodes (www.canada.ca/fr/environnement-changement-climatique/services/indicateurs-environnementaux/qualite-air.html#Methodes).",,,,,,,,,,,,,,,,,,
Source : Environnement et Changement climatique Canada (2025) Programme de surveillance national de la pollution atmosphérique (SNPA) – Portail du Gouvernement Ouvert (https://ouvert.canada.ca/data/fr/dataset/1b36a356-defd-4813-acea-47bc3abd859b). ,,,,,,,,,,,,,,,,,,
Disponible sur le site Web des Indicateurs environnementaux (www.canada.ca/indicateurs-environnementaux).,,,,,,,,,,,,,,,,,,
