Compound,Category,Units,2012to13,2014to15,2015to16
Composé,Catégorie,Unité,2012 à 2013,2014 à 2015,2015 à 2016
HCB,HCB&PeCB,picogram/meter cubed,78,80,61
PeCB,HCB&PeCB,picogram/meter cubed,25,29,24
L3,Siloxanes,nanograms/meter cubed,n.d,n.d,n.d
D3 ,Siloxanes,nanograms/meter cubed,1.361,2.436,1.028
D4 ,Siloxanes,nanograms/meter cubed,22.136,29.697,6.096
L4 ,Siloxanes,nanograms/meter cubed,n.d,n.d,n.d
D5 ,Siloxanes,nanograms/meter cubed,8.269,32.557,4.944
L5 ,Siloxanes,nanograms/meter cubed,n.d,n.d,n.d
D6 ,Siloxanes,nanograms/meter cubed,1.99,9.079,0.903
6:2 FTA,Neutral PFAS,picogram/meter cubed,n.d.,n.d.,n.d.
6:2 FTOH,Neutral PFAS,picogram/meter cubed,n.d.,n.d.,n.d.
8:2 FTA,Neutral PFAS,picogram/meter cubed,n.d.,n.d.,n.d.
8:2 FTOH,Neutral PFAS,picogram/meter cubed,14.13,6.7,6.05
10:2 FTA,Neutral PFAS,picogram/meter cubed,n.d.,n.d.,n.d.
10:2 FTOH,Neutral PFAS,picogram/meter cubed,8.42,3.99,2.32
Et FOSA,Neutral PFAS,picogram/meter cubed,n.d.,n.d.,n.d.
Me FOSA,Neutral PFAS,picogram/meter cubed,0.077,0.1,0.073
Me FOSE,Neutral PFAS,picogram/meter cubed,0.21,n.d.,n.d.
Et FOSE ,Neutral PFAS,picogram/meter cubed,n.d.,n.d.,n.d.
PFBS,Ionizable PFAS,picogram/meter cubed,1.064,1.305,1.631
PFHxS,Ionizable PFAS,picogram/meter cubed,0.53,0.405,0.768
PFOS,Ionizable PFAS,picogram/meter cubed,1.591,1.821,3.053
PFDS,Ionizable PFAS,picogram/meter cubed,n.d,n.d,n.d
