Federal Jurisdiction Workplace Survey 2008 Table 25: Number of employees by shift schedule,,,,,,,,,,,,,,,,,,,,
Size,Shift Schedule, Number of male employees working for companies under federal jurisdiction ,Q, Number of female employees working for companies under federal jurisdiction ,Q, Total male and female employees working for companies under federal jurisdiction ,Q, Percentage of employees ,Q,Number of companies (1) under federal jurisdiction hiring at least one male employee,Q,Number of companies (1) under federal jurisdiction hiring at least one female employee,Q,Total number of companies (1) under federal jurisdiction hiring at least one employee,Q,,,,,
Total all size categories,Total,"464,219",6.3%,"355,997",8.3%,"820,216",6.9%,100.00%,0.0%,"7,713",3.9%,"6,535",4.3%,"8,480",3.9%,,,,,
,Regular day shifts,"250,764",7.3%,"252,736",8.4%,"503,501",7.5%,61.39%,1.6%,"5,182",4.2%,"5,182",4.3%,"6,490",4.1%,,,,,
,Other regular shifts,"107,329",9.7%,"58,245",12.2%,"165,574",10.1%,20.19%,1.2%,"1,800",5.0%,977,8.4%,"2,040",5.5%,,,,,
,"Irregular shifts, rotating shifts and other scheduling arrangements","106,125",5.9%,"45,016",11.9%,"151,141",7.1%,18.43%,1.0%,"4,076",6.4%,"1,930",9.6%,"4,592",6.0%,,,,,
1-5 employees,Total,"6,280",9.0%,"3,757",10.1%,"10,037",7.8%,100.00%,0.0%,"3,827",7.6%,"2,881",9.3%,"4,511",7.0%,,,,,
,Regular day shifts,"3,139",11.1%,"2,495",13.3%,"5,634",9.9%,56.13%,3.7%,"1,882",10.3%,"1,819",11.5%,"2,915",8.6%,,,,,
,Other regular shifts,508,22.1%,262,27.8%,770,18.6%,7.68%,1.4%,355,19.6%,236,30.5%,524,18.3%,,,,,
,"Irregular shifts, rotating shifts and other scheduling arrangements","2,632",16.7%,"1,000",18.4%,"3,633",13.9%,36.19%,3.8%,"1,944",12.5%,890,19.3%,"2,408",10.9%,,,,,
6-19 employees,Total,"15,669",4.6%,"5,725",6.2%,"21,394",4.4%,100.00%,0.0%,"2,051",4.8%,"1,868",5.3%,"2,129",4.6%,,,,,
,Regular day shifts,"7,669",5.2%,"4,693",5.7%,"12,362",4.8%,57.78%,2.0%,"1,591",5.9%,"1,663",5.0%,"1,817",5.2%,,,,,
,Other regular shifts,"1,655",13.7%,281,17.4%,"1,936",12.1%,9.05%,1.1%,487,9.0%,177,14.2%,529,8.6%,,,,,
,"Irregular shifts, rotating shifts and other scheduling arrangements","6,345",8.4%,751,29.2%,"7,096",9.1%,33.17%,2.2%,"1,080",8.5%,359,17.3%,"1,114",8.2%,,,,,
20-99 employees,Total,"41,228",4.3%,"12,632",5.0%,"53,861",4.0%,100.00%,0.0%,"1,253",3.6%,"1,209",3.7%,"1,259",3.6%,,,,,
,Regular day shifts,"19,901",4.9%,"9,935",5.3%,"29,836",4.5%,55.39%,1.6%,"1,130",3.9%,"1,133",3.8%,"1,177",3.8%,,,,,
,Other regular shifts,"6,481",9.7%,943,19.2%,"7,425",9.4%,13.79%,1.2%,570,6.3%,234,11.3%,590,6.2%,,,,,
,"Irregular shifts, rotating shifts and other scheduling arrangements","14,846",7.8%,"1,754",10.6%,"16,600",7.5%,30.82%,1.8%,666,5.3%,345,8.3%,678,5.2%,,,,,
100+ employees,Total,"401,042",7.3%,"333,883",8.9%,"734,924",7.7%,100.00%,0.0%,581,4.0%,577,4.0%,581,4.0%,,,,,
,Regular day shifts,"220,055",8.3%,"235,614",9.0%,"455,669",8.3%,62.00%,1.8%,578,4.0%,568,3.9%,580,4.0%,,,,,
,Other regular shifts,"98,685",10.5%,"56,758",12.5%,"155,443",10.7%,21.15%,1.3%,388,4.6%,330,5.5%,398,4.9%,,,,,
,"Irregular shifts, rotating shifts and other scheduling arrangements","82,302",7.5%,"41,510",12.9%,"123,812",8.6%,16.85%,1.0%,387,4.9%,336,5.1%,392,4.8%,,,,,
,,,,,,,,,,,,,,,,,,,,
CV,0.00% - 4.99%,A - excellent,,,,,,,,,,,,,,,,,,
,5.00% - 9.99%,B - very good,,,,,,,,,,,,,,,,,,
,10.00% - 14.99%,C - good,,,,,,,,,,,,,,,,,,
,15.00% - 24.99%,D - acceptable,,,,,,,,,,,,,,,,,,
,25.00 - 34.99%,E - use with caution,,,,,,,,,,,,,,,,,,
,Greater than 35%,F - unreliable,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Symbols:                       … not applicable,,,,,,,,,,,,,,,,,,,,
,x  suppressed to meet the confidentiality requirements of the Statistics Act ,,,,,,,,,,,,,,,,,,,
,0  true zero or value rounded to zero,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Note: Data may not add to totals as a result of rounding.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Source:  Federal Jurisdiction Workplace Survey, 2008",,,,,,,,,,,,,,,,,,,,
