Table 3   Occupational distribution of male and female workers,,,,,,,,,,,
Regions,Occupational group,Number of male employees working for regional companies under federal jurisdiction,CV,Number of female employees working for regional companies under federal jurisdiction,CV,Total male and female employees working for regional companies under federal jurisdiction,CV,,,,
Canada,Total,"464,219",6.3%,"355,997",8.3%,"820,216",6.9%,,,,
,Managers,"46,713",7.3%,"31,425",10.3%,"78,137",8.4%,,,,
,Supervisors,"22,409",7.5%,"12,942",8.1%,"35,352",7.0%,,,,
,Professionals,"63,260",8.9%,"55,143",10.3%,"118,403",9.3%,,,,
,Technical/Trades,"94,203",7.7%,"16,245",9.6%,"110,448",7.6%,,,,
,Marketing/Sales,"17,248",11.7%,"31,103",17.6%,"48,351",15.2%,,,,
,Clerical/Administrative,"53,740",10.7%,"149,105",10.0%,"202,845",9.8%,,,,
,Labourers,"147,879",11.4%,"52,605",25.0%,"200,484",14.8%,,,,
,Other,"18,768",12.0%,"7,428",9.3%,"26,196",9.9%,,,,
Atlantic,Total,"36,447",5.4%,"33,243",9.2%,"69,690",6.7%,,,,
,Managers,"3,663",6.2%,"2,815",7.8%,"6,478",6.7%,,,,
,Supervisors,"1,497",8.1%,"1,277",5.9%,"2,775",5.8%,,,,
,Professionals,"6,270",7.6%,"4,412",11.6%,"10,682",9.0%,,,,
,Technical/Trades,"9,391",8.7%,"1,472",17.9%,"10,863",9.6%,,,,
,Marketing/Sales,"1,416",19.5%,"2,782",18.4%,"4,198",18.5%,,,,
,Clerical/Administrative,"4,205",17.7%,"15,059",15.9%,"19,264",15.7%,,,,
,Labourers,x,x,x,x,x,x,,,,
,Other,x,x,x,x,x,x,,,,
Quebec,Total,"93,328",9.6%,"73,883",13.1%,"167,212",10.4%,,,,
,Managers,"8,096",13.4%,"5,862",16.8%,"13,957",14.4%,,,,
,Supervisors,"4,123",9.0%,"2,780",16.3%,"6,903",10.1%,,,,
,Professionals,"12,315",21.9%,"13,871",20.6%,"26,185",20.2%,,,,
,Technical/Trades,"18,978",19.0%,"4,569",26.3%,"23,547",18.7%,,,,
,Marketing/Sales,"3,499",22.1%,"8,480",31.3%,"11,979",27.3%,,,,
,Clerical/Administrative,"10,261",18.3%,"28,966",16.8%,"39,227",16.3%,,,,
,Labourers,x,x,x,x,x,x,,,,
,Other,x,x,x,x,x,x,,,,
Ontario,Total,"182,959",13.7%,"138,406",17.7%,"321,364",15.0%,,,,
,Managers,"20,592",13.9%,"14,848",18.9%,"35,439",15.9%,,,,
,Supervisors,"8,587",16.8%,"4,578",16.9%,"13,165",15.9%,,,,
,Professionals,"25,757",17.0%,"21,895",19.6%,"47,652",18.0%,,,,
,Technical/Trades,"31,290",13.6%,"5,833",14.1%,"37,123",13.4%,,,,
,Marketing/Sales,"7,154",21.4%,"11,158",34.6%,"18,312",29.2%,,,,
,Clerical/Administrative,"22,373",20.2%,"54,882",19.3%,"77,255",18.8%,,,,
,Labourers,"59,656",27.2%,"23,313",56.4%,"82,970",35.2%,,,,
,Other,"7,549",24.5%,"1,898",12.1%,"9,447",20.7%,,,,
West,Total,"151,485",8.1%,"110,465",12.2%,"261,950",9.0%,,,,
,Managers,"14,362",10.0%,"7,901",16.3%,"22,263",11.9%,,,,
,Supervisors,"8,201",9.2%,"4,307",12.5%,"12,508",8.6%,,,,
,Professionals,"18,918",12.2%,"14,966",15.7%,"33,884",13.2%,,,,
,Technical/Trades,"34,545",13.3%,"4,370",11.5%,"38,915",12.7%,,,,
,Marketing/Sales,"5,179",19.5%,"8,683",32.1%,"13,862",27.0%,,,,
,Clerical/Administrative,"16,900",17.2%,"50,199",17.9%,"67,099",17.0%,,,,
,Labourers,"48,010",8.6%,"17,059",3.5%,"65,069",6.9%,,,,
,Other,"5,370",18.7%,"2,981",17.7%,"8,350",15.3%,,,,
,,,,,,,,,,,
CV,0.00% - 4.99%,A - excellent,   ,,,,,,,,
,5.00% - 9.99%,B - very good,   ,,,,,,,,
,10.00% - 14.99%,C - good,   ,,,,,,,,
,15.00% - 24.99%,D - acceptable,   ,,,,,,,,
,25.00 - 34.99%,E - use with caution,   ,,,,,,,,
,Greater than 35%,F - unreliable, ,,,,,,,,
,,,,,,,,,,,
Symbols:                       … not applicable,,,,,,,,,,,
,x  suppressed to meet the confidentiality requirements of the Statistics Act ,,,,,,,,,,
,0  true zero or value rounded to zero,,,,,,,,,,
,,,,,,,,,,,
Note: Data may not add to totals as a result of rounding.,,,,,,,,,,,
,,,,,,,,,,,
"Source:  Federal Jurisdiction Workplace Survey, 2008",,,,,,,,,,,
